Species,Match type,ScientificName,ScientificName_accepted
Lampetra fluviatilis,exact,Lampetra fluviatilis,Lampetra fluviatilis
Lamprogrammus niger,exact,Lamprogrammus niger,Lamprogrammus niger
Larimus fasciatus,exact,Larimus fasciatus,Larimus fasciatus
Leiostomus xanthurus,exact,Leiostomus xanthurus,Leiostomus xanthurus
Lepadogaster lepadogaster,exact,Lepadogaster lepadogaster,Lepadogaster lepadogaster
Lepidion eques,exact,Lepidion eques,Lepidion eques
Lepidocybium flavobrunneum,exact,Lepidocybium flavobrunneum,Lepidocybium flavobrunneum
Lepidopsetta bilineata,exact,Lepidopsetta bilineata,Lepidopsetta bilineata
Lepidopsetta polyxystra,exact,Lepidopsetta polyxystra,Lepidopsetta polyxystra
Lepidopus caudatus,exact,Lepidopus caudatus,Lepidopus caudatus
Lepidopus fitchi,exact,Lepidopus fitchi,Lepidopus fitchi
Lepidorhombus boscii,exact,Lepidorhombus boscii,Lepidorhombus boscii
Lepidorhombus whiffiagonis,exact,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis
Lepidotrigla dieuzeidei,exact,Lepidotrigla dieuzeidei,Lepidotrigla dieuzeidei
Lepophidium brevibarbe,exact,Lepophidium brevibarbe,Lepophidium brevibarbe
Lepophidium profundorum,exact,Lepophidium profundorum,Lepophidium profundorum
Lepophidium staurophor,exact,Lepophidium staurophor,Lepophidium staurophor
Leptagonus decagonus,exact,Leptagonus decagonus,Leptagonus decagonus
Leptoclinus maculatus,exact,Leptoclinus maculatus,Leptoclinus maculatus
Leptocottus armatus,exact,Leptocottus armatus,Leptocottus armatus
Lestidiops ringens,exact,Lestidiops ringens,Lestidiops ringens
Lesueurigobius friesii,exact,Lesueurigobius friesii,Lesueurigobius friesii
Lesueurigobius sanzi,exact,Lesueurigobius sanzi,Lesueurigobius sanzi
Lesueurigobius suerii,exact,Lesueurigobius suerii,Lesueurigobius suerii
Lethotremus muticus,exact,Lethotremus muticus,Lethotremus muticus
Leucoraja circularis,exact,Leucoraja circularis,Leucoraja circularis
Leucoraja erinacea,exact,Leucoraja erinacea,Leucoraja erinacea
Leucoraja fullonica,exact,Leucoraja fullonica,Leucoraja fullonica
Leucoraja garmani,exact,Leucoraja garmani,Leucoraja garmani
Leucoraja lentiginosa,exact,Leucoraja lentiginosa,Leucoraja lentiginosa
Leucoraja naevus,exact,Leucoraja naevus,Leucoraja naevus
Leucoraja ocellata,exact,Leucoraja ocellata,Leucoraja ocellata
Leuroglossus schmidti,exact,Leuroglossus schmidti,Leuroglossus schmidti
Leuroglossus stilbius,exact,Leuroglossus stilbius,Leuroglossus stilbius
Limanda aspera,exact,Limanda aspera,Limanda aspera
Limanda ferruginea,exact,Limanda ferruginea,Limanda ferruginea
Limanda limanda,exact,Limanda limanda,Limanda limanda
Limanda proboscidea,exact,Limanda proboscidea,Limanda proboscidea
Limanda sakhalinensis,exact,Limanda sakhalinensis,Limanda sakhalinensis
Liopropoma eukrines,exact,Liopropoma eukrines,Liopropoma eukrines
Liopsetta glacialis,exact,Liopsetta glacialis,Liopsetta glacialis
Liparis atlanticus,exact,Liparis atlanticus,Liparis atlanticus
Liparis bathyarcticus,exact,Liparis bathyarcticus,Liparis bathyarcticus
Liparis bristolensis,exact,Liparis bristolensis,Liparis bristolensis
Liparis callyodon,exact,Liparis callyodon,Liparis callyodon
Liparis coheni,exact,Liparis coheni,Liparis coheni
Liparis dennyi,exact,Liparis dennyi,Liparis dennyi
Liparis fabricii,exact,Liparis fabricii,Liparis fabricii
Liparis fucensis,exact,Liparis fucensis,Liparis fucensis
Liparis gibbus,exact,Liparis gibbus,Liparis gibbus
Liparis inquilinus,exact,Liparis inquilinus,Liparis inquilinus
Liparis liparis,exact,Liparis liparis,Liparis liparis liparis
Liparis liparis liparis,exact,Liparis liparis liparis,Liparis liparis liparis
Liparis marmoratus,exact,Liparis marmoratus,Liparis marmoratus
Liparis montagui,exact,Liparis montagui,Liparis montagui
Liparis ochotensis,exact,Liparis ochotensis,Liparis ochotensis
Liparis pulchellus,exact,Liparis pulchellus,Liparis pulchellus
Liparis rutteri,exact,Liparis rutteri,Liparis rutteri
Liparis tunicatus,exact,Liparis tunicatus,Liparis tunicatus
Lipariscus nanus,exact,Lipariscus nanus,Lipariscus nanus
Lipolagus ochotensis,exact,Lipolagus ochotensis,Lipolagus ochotensis
Lipophrys pholis,exact,Lipophrys pholis,Lipophrys pholis
Lithognathus mormyrus,exact,Lithognathus mormyrus,Lithognathus mormyrus
Liza aurata,exact,Liza aurata,Chelon auratus
Liza ramada,exact,Liza ramada,Chelon ramada
Lobotes surinamensis,exact,Lobotes surinamensis,Lobotes surinamensis
Lonchopisthus micrognathus,exact,Lonchopisthus micrognathus,Lonchopisthus micrognathus
Lonchurus lanceolatus,exact,Lonchurus lanceolatus,Lonchurus lanceolatus
Lophiodes reticulatus,exact,Lophiodes reticulatus,Lophiodes reticulatus
Lophius americanus,exact,Lophius americanus,Lophius americanus
Lophius budegassa,exact,Lophius budegassa,Lophius budegassa
Lophius gastrophysus,exact,Lophius gastrophysus,Lophius gastrophysus
Lophius piscatorius,exact,Lophius piscatorius,Lophius piscatorius
Lopholatilus chamaeleonticeps,exact,Lopholatilus chamaeleonticeps,Lopholatilus chamaeleonticeps
Lota lota,exact,Lota lota,Lota lota
Lumpenella longirostris,exact,Lumpenella longirostris,Lumpenella longirostris
Lumpenus fabricii,exact,Lumpenus fabricii,Lumpenus fabricii
Lumpenus lampretaeformis,exact,Lumpenus lampretaeformis,Lumpenus lampretaeformis
Lumpenus sagitta,exact,Lumpenus sagitta,Lumpenus sagitta
Lutjanus analis,exact,Lutjanus analis,Lutjanus analis
Lutjanus campechanus,exact,Lutjanus campechanus,Lutjanus campechanus
Lutjanus griseus,exact,Lutjanus griseus,Lutjanus griseus
Lutjanus synagris,exact,Lutjanus synagris,Lutjanus synagris
Lutjanus vivanus,exact,Lutjanus vivanus,Lutjanus vivanus
Lycenchelys camchatica,exact,Lycenchelys camchatica,Lycenchelys camchatica
Lycenchelys crotalinus,exact,Lycenchelys crotalinus,Lycenchelys crotalinus
Lycenchelys kolthoffi,exact,Lycenchelys kolthoffi,Lycenchelys kolthoffi
Lycenchelys muraena,exact,Lycenchelys muraena,Lycenchelys muraena
Lycenchelys paxillus,exact,Lycenchelys paxillus,Lycenchelys paxillus
Lycenchelys ratmanovi,exact,Lycenchelys ratmanovi,Lycenchelys ratmanovi
Lycenchelys sarsii,exact,Lycenchelys sarsii,Lycenchelys sarsii
Lycenchelys verrillii,exact,Lycenchelys verrillii,Lycenchelys verrillii
Lycodapus dermatinus,exact,Lycodapus dermatinus,Lycodapus dermatinus
Lycodapus endemoscotus,exact,Lycodapus endemoscotus,Lycodapus endemoscotus
Lycodapus fierasfer,exact,Lycodapus fierasfer,Lycodapus fierasfer
Lycodapus leptus,exact,Lycodapus leptus,Lycodapus leptus
Lycodapus mandibularis,exact,Lycodapus mandibularis,Lycodapus mandibularis
Lycodapus parviceps,exact,Lycodapus parviceps,Lycodapus parviceps
Lycodapus poecilus,exact,Lycodapus poecilus,Lycodapus poecilus
Lycodapus psarostomatus,exact,Lycodapus psarostomatus,Lycodapus psarostomatus
Lycodes adolfi,exact,Lycodes adolfi,Lycodes adolfi
Lycodes akuugun,exact,Lycodes akuugun,Lycodes akuugun
Lycodes beringi,exact,Lycodes beringi,Lycodes beringi
Lycodes brevipes,exact,Lycodes brevipes,Lycodes brevipes
Lycodes concolor,exact,Lycodes concolor,Lycodes concolor
Lycodes cortezianus,exact,Lycodes cortezianus,Lycodes cortezianus
Lycodes diapterus,exact,Lycodes diapterus,Lycodes diapterus
Lycodes esmarkii,exact,Lycodes esmarkii,Lycodes esmarkii
Lycodes eudipleurostictus,exact,Lycodes eudipleurostictus,Lycodes eudipleurostictus
Lycodes frigidus,exact,Lycodes frigidus,Lycodes frigidus
Lycodes gracilis,exact,Lycodes gracilis,Lycodes gracilis
Lycodes lavalaei,exact,Lycodes lavalaei,Lycodes lavalaei
Lycodes luetkenii,exact,Lycodes luetkenii,Lycodes luetkenii
Lycodes mucosus,exact,Lycodes mucosus,Lycodes mucosus
Lycodes pacificus,exact,Lycodes pacificus,Lycodes pacificus
Lycodes palearis,exact,Lycodes palearis,Lycodes palearis
Lycodes pallidus,exact,Lycodes pallidus,Lycodes pallidus
Lycodes polaris,exact,Lycodes polaris,Lycodes polaris
Lycodes paamiuti,exact,Lycodes paamiuti,Lycodes paamiuti
Lycodes raridens,exact,Lycodes raridens,Lycodes raridens
Lycodes reticulatus,exact,Lycodes reticulatus,Lycodes reticulatus
Lycodes rossi,exact,Lycodes rossi,Lycodes rossi
Lycodes seminudus,exact,Lycodes seminudus,Lycodes seminudus
Lycodes squamiventer,exact,Lycodes squamiventer,Lycodes squamiventer
Lycodes turneri,exact,Lycodes turneri,Lycodes turneri
Lycodes vahlii,exact,Lycodes vahlii,Lycodes vahlii
Lycodonus flagellicauda,exact,Lycodonus flagellicauda,Lycodonus flagellicauda
Lyconema barbatum,exact,Lyconema barbatum,Lyconema barbatum
Lyopsetta exilis,exact,Lyopsetta exilis,Lyopsetta exilis
Macroparalepis affinis,exact,Macroparalepis affinis,Macroparalepis affinis
Macropinna microstoma,exact,Macropinna microstoma,Macropinna microstoma
Macroramphosus scolopax,exact,Macroramphosus scolopax,Macroramphosus scolopax
Macrourus berglax,exact,Macrourus berglax,Macrourus berglax
Magnisudis atlantica,exact,Magnisudis atlantica,Magnisudis atlantica
Malacanthus plumieri,exact,Malacanthus plumieri,Malacanthus plumieri
Malacocephalus laevis,exact,Malacocephalus laevis,Malacocephalus laevis
Malacocephalus occidentalis,exact,Malacocephalus occidentalis,Malacocephalus occidentalis
Malacocottus aleuticus,exact,Malacocottus aleuticus,Malacocottus aleuticus
Malacocottus kincaidi,exact,Malacocottus kincaidi,Malacocottus kincaidi
Malacocottus zonurus,exact,Malacocottus zonurus,Malacocottus zonurus
Malacoraja senta,exact,Malacoraja senta,Malacoraja senta
Malacoraja spinacidermis,exact,Malacoraja spinacidermis,Malacoraja spinacidermis
Malacosteus niger,exact,Malacosteus niger,Malacosteus niger
Mallotus villosus,exact,Mallotus villosus,Mallotus villosus
Maulisia mauli,exact,Maulisia mauli,Maulisia mauli
Maurolicus muelleri,exact,Maurolicus muelleri,Maurolicus muelleri
Maurolicus weitzmani,exact,Maurolicus weitzmani,Maurolicus weitzmani
Megalocottus platycephalus platycephalus,exact,Megalocottus platycephalus platycephalus,Megalocottus platycephalus platycephalus
Megalops atlanticus,exact,Megalops atlanticus,Megalops atlanticus
Melamphaes lugubris,exact,Melamphaes lugubris,Melamphaes lugubris
Melanocetus johnsonii,exact,Melanocetus johnsonii,Melanocetus johnsonii
Melanogrammus aeglefinus,exact,Melanogrammus aeglefinus,Melanogrammus aeglefinus
Melanonus zugmayeri,exact,Melanonus zugmayeri,Melanonus zugmayeri
Melanostigma atlanticum,exact,Melanostigma atlanticum,Melanostigma atlanticum
Melanostigma pammelas,exact,Melanostigma pammelas,Melanostigma pammelas
Membras martinica,exact,Membras martinica,Membras martinica
Menidia beryllina,exact,Menidia beryllina,Menidia beryllina
Menidia menidia,exact,Menidia menidia,Menidia menidia
Menticirrhus americanus,exact,Menticirrhus americanus,Menticirrhus americanus
Menticirrhus littoralis,exact,Menticirrhus littoralis,Menticirrhus littoralis
Menticirrhus saxatilis,exact,Menticirrhus saxatilis,Menticirrhus saxatilis
Merlangius merlangus,exact,Merlangius merlangus,Merlangius merlangus
Merluccius albidus,exact,Merluccius albidus,Merluccius albidus
Merluccius bilinearis,exact,Merluccius bilinearis,Merluccius bilinearis
Merluccius merluccius,exact,Merluccius merluccius,Merluccius merluccius
Merluccius productus,exact,Merluccius productus,Merluccius productus
Micrenophrys lilljeborgii,exact,Micrenophrys lilljeborgii,Micrenophrys lilljeborgii
Microchirus azevia,exact,Microchirus azevia,Microchirus azevia
Microchirus boscanion,exact,Microchirus boscanion,Microchirus boscanion
Microchirus ocellatus,exact,Microchirus ocellatus,Microchirus ocellatus
Microchirus variegatus,exact,Microchirus variegatus,Microchirus variegatus
Microcottus sellaris,exact,Microcottus sellaris,Microcottus sellaris
Microgadus proximus,exact,Microgadus proximus,Microgadus proximus
Microgadus tomcod,exact,Microgadus tomcod,Microgadus tomcod
Microgobius gulosus,exact,Microgobius gulosus,Microgobius gulosus
Microgobius thalassiunus,phonetic,Microgobius thalassinus,Microgobius thalassinus
Micromesistius poutassou,exact,Micromesistius poutassou,Micromesistius poutassou
Micropogonias undulatus,exact,Micropogonias undulatus,Micropogonias undulatus
Microspathodon chrysurus,exact,Microspathodon chrysurus,Microspathodon chrysurus
Microstomus kitt,exact,Microstomus kitt,Microstomus kitt
Microstomus pacificus,exact,Microstomus pacificus,Microstomus pacificus
Mobula birostris,exact,Mobula birostris,Mobula birostris
Mobula hypostoma,exact,Mobula hypostoma,Mobula hypostoma
Mola mola,exact,Mola mola,Mola mola
Molva dypterygia,exact,Molva dypterygia,Molva dypterygia
Molva macrophthalma,exact,Molva macrophthalma,Molva macrophthalma
Molva molva,exact,Molva molva,Molva molva
Monacanthus ciliatus,exact,Monacanthus ciliatus,Monacanthus ciliatus
Monochirus hispidus,exact,Monochirus hispidus,Monochirus hispidus
Monolene sessilicauda,exact,Monolene sessilicauda,Monolene sessilicauda
Mora moro,exact,Mora moro,Mora moro
Morone americana,exact,Morone americana,Morone americana
Morone saxatilis,exact,Morone saxatilis,Morone saxatilis
Mugil cephalus,exact,Mugil cephalus,Mugil cephalus
Mugil curema,exact,Mugil curema,Mugil curema
Mulloidichthys martinicus,exact,Mulloidichthys martinicus,Mulloidichthys martinicus
Mullus auratus,exact,Mullus auratus,Mullus auratus
Mullus surmuletus,exact,Mullus surmuletus,Mullus surmuletus
Muraena retifera,exact,Muraena retifera,Muraena retifera
Mustelus asterias,exact,Mustelus asterias,Mustelus asterias
Mustelus californicus,exact,Mustelus californicus,Mustelus californicus
Mustelus canis,exact,Mustelus canis,Mustelus canis
Mustelus henlei,exact,Mustelus henlei,Mustelus henlei
Mustelus lunulatus,exact,Mustelus lunulatus,Mustelus lunulatus
Mustelus mustelus,exact,Mustelus mustelus,Mustelus mustelus
Mustelus norrisi,exact,Mustelus norrisi,Mustelus norrisi
Mustelus sinusmexicanus,exact,Mustelus sinusmexicanus,Mustelus sinusmexicanus
Mycteroperca bonaci,exact,Mycteroperca bonaci,Mycteroperca bonaci
Mycteroperca interstitialis,exact,Mycteroperca interstitialis,Mycteroperca interstitialis
Mycteroperca microlepis,exact,Mycteroperca microlepis,Mycteroperca microlepis
Mycteroperca phenax,exact,Mycteroperca phenax,Mycteroperca phenax
Mycteroperca venenosa,exact,Mycteroperca venenosa,Mycteroperca venenosa
Myctophum punctatum,exact,Myctophum punctatum,Myctophum punctatum
Myliobatis aquila,exact,Myliobatis aquila,Myliobatis aquila
Myliobatis californica,exact,Myliobatis californica,Myliobatis californica
Myliobatis freminvillei,exact,Myliobatis freminvillei,Myliobatis freminvillei
Myliobatis goodei,exact,Myliobatis goodei,Myliobatis goodei
Myoxocephalus aenaeus,exact,Myoxocephalus aenaeus,Myoxocephalus aenaeus
Myoxocephalus jaok,exact,Myoxocephalus jaok,Myoxocephalus jaok
Myoxocephalus octodecemspinosus,exact,Myoxocephalus octodecemspinosus,Myoxocephalus octodecemspinosus
Myoxocephalus polyacanthocephalus,exact,Myoxocephalus polyacanthocephalus,Myoxocephalus polyacanthocephalus
Myoxocephalus quadricornis,exact,Myoxocephalus quadricornis,Myoxocephalus quadricornis
Myoxocephalus scorpioides,exact,Myoxocephalus scorpioides,Myoxocephalus scorpioides
Myoxocephalus scorpius,exact,Myoxocephalus scorpius,Myoxocephalus scorpius
Myrichthys ocellatus,exact,Myrichthys ocellatus,Myrichthys ocellatus
Myripristis jacobus,exact,Myripristis jacobus,Myripristis jacobus
Myrophis punctatus,exact,Myrophis punctatus,Myrophis punctatus
Myxine glutinosa,exact,Myxine glutinosa,Myxine glutinosa
Nalbantichthys elongatus,exact,Nalbantichthys elongatus,Nalbantichthys elongatus
Nannobrachium regale,exact,Nannobrachium regale,Nannobrachium regale
Nannobrachium ritteri,exact,Nannobrachium ritteri,Nannobrachium ritteri
Nansenia candida,exact,Nansenia candida,Nansenia candida
Nansenia groenlandica,exact,Nansenia groenlandica,Nansenia groenlandica
Narcine bancroftii,exact,Narcine bancroftii,Narcine bancroftii
Narcine brasiliensis,exact,Narcine brasiliensis,Narcine brasiliensis
Naucrates ductor,exact,Naucrates ductor,Naucrates ductor
Nautichthys oculofasciatus,exact,Nautichthys oculofasciatus,Nautichthys oculofasciatus
Nautichthys pribilovius,exact,Nautichthys pribilovius,Nautichthys pribilovius
Nealotus tripes,exact,Nealotus tripes,Nealotus tripes
Nectoliparis pelagicus,exact,Nectoliparis pelagicus,Nectoliparis pelagicus
Nemichthys larseni,exact,Nemichthys larseni,Nemichthys larseni
Nemichthys scolopaceus,exact,Nemichthys scolopaceus,Nemichthys scolopaceus
Neobythites gilli,exact,Neobythites gilli,Neobythites gilli
Neobythites marginatus,exact,Neobythites marginatus,Neobythites marginatus
Neoclinus blanchardi,exact,Neoclinus blanchardi,Neoclinus blanchardi
Neoconger mucronatus,exact,Neoconger mucronatus,Neoconger mucronatus
Neoepinnula americana,exact,Neoepinnula americana,Neoepinnula americana
Neogobius melanostomus,exact,Neogobius melanostomus,Neogobius melanostomus
Neomerinthe beanorum,exact,Neomerinthe beanorum,Neomerinthe beanorum
Neomerinthe hemingwayi,exact,Neomerinthe hemingwayi,Neomerinthe hemingwayi
Neoniphon marianus,exact,Neoniphon marianus,Neoniphon marianus
Neoraja iberica,exact,Neoraja iberica,Neoraja iberica
Neoscopelus macrolepidotus,exact,Neoscopelus macrolepidotus,Neoscopelus macrolepidotus
Nerophis lumbriciformis,exact,Nerophis lumbriciformis,Nerophis lumbriciformis
Nerophis ophidion,exact,Nerophis ophidion,Nerophis ophidion
Nesiarchus nasutus,exact,Nesiarchus nasutus,Nesiarchus nasutus
Nettastoma melanurum,exact,Nettastoma melanurum,Nettastoma melanurum
Nezumia aequalis,exact,Nezumia aequalis,Nezumia aequalis
Nezumia bairdii,exact,Nezumia bairdii,Nezumia bairdii
Nezumia liolepis,exact,Nezumia liolepis,Nezumia liolepis
Nezumia sclerorhynchus,exact,Nezumia sclerorhynchus,Nezumia sclerorhynchus
Nezumia stelgidolepis,exact,Nezumia stelgidolepis,Nezumia stelgidolepis
Nicholsina usta usta,exact,Nicholsina usta usta,Nicholsina usta usta
Notacanthus bonaparte,exact,Notacanthus bonaparte,Notacanthus bonaparte
Notacanthus chemnitzii,exact,Notacanthus chemnitzii,Notacanthus chemnitzii
Notoscopelus kroyeri,exact,Notoscopelus kroyeri,Notoscopelus kroyeri
Occella dodecaedron,exact,Occella dodecaedron,Occella dodecaedron
Ocyurus chrysurus,exact,Ocyurus chrysurus,Ocyurus chrysurus
Odontopyxis trispinosa,exact,Odontopyxis trispinosa,Odontopyxis trispinosa
Odontoscion dentex,exact,Odontoscion dentex,Odontoscion dentex
Ogcocephalus corniger,exact,Ogcocephalus corniger,Ogcocephalus corniger
Ogcocephalus cubifrons,exact,Ogcocephalus cubifrons,Ogcocephalus cubifrons
Ogcocephalus declivirostris,exact,Ogcocephalus declivirostris,Ogcocephalus declivirostris
Ogcocephalus nasutus,exact,Ogcocephalus nasutus,Ogcocephalus nasutus
Ogcocephalus pantostictus,exact,Ogcocephalus pantostictus,Ogcocephalus pantostictus
Ogcocephalus parvus,exact,Ogcocephalus parvus,Ogcocephalus parvus
Ogcocephalus pumilus,exact,Ogcocephalus pumilus,Ogcocephalus pumilus
Ogcocephalus radiatus,exact,Ogcocephalus radiatus,Ogcocephalus radiatus
Ogcocephalus rostellum,exact,Ogcocephalus rostellum,Ogcocephalus rostellum
Ogcocephalus vespertilio,exact,Ogcocephalus vespertilio,Ogcocephalus vespertilio
Oligoplites saurus,exact,Oligoplites saurus,Oligoplites saurus
Oncorhynchus gorbuscha,exact,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha
Oncorhynchus keta,exact,Oncorhynchus keta,Oncorhynchus keta
Oncorhynchus kisutch,exact,Oncorhynchus kisutch,Oncorhynchus kisutch
Oncorhynchus mykiss,exact,Oncorhynchus mykiss,Oncorhynchus mykiss
Oncorhynchus nerka,exact,Oncorhynchus nerka,Oncorhynchus nerka
Oncorhynchus tshawytscha,exact,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha
Oneirodes acanthias,exact,Oneirodes acanthias,Oneirodes acanthias
Oneirodes bulbosus,exact,Oneirodes bulbosus,Oneirodes bulbosus
Oneirodes thompsoni,exact,Oneirodes thompsoni,Oneirodes thompsoni
Ophichthus cruentifer,exact,Ophichthus cruentifer,Ophichthus cruentifer
Ophichthus gomesii,exact,Ophichthus gomesii,Ophichthus gomesii
Ophichthus ophis,exact,Ophichthus ophis,Ophichthus ophis
Ophichthus puncticeps,exact,Ophichthus puncticeps,Ophichthus puncticeps
Ophichthus rex,exact,Ophichthus rex,Ophichthus rex
Ophidion antipholus,exact,Ophidion antipholus,Ophidion antipholus
Ophidion barbatum,exact,Ophidion barbatum,Ophidion barbatum
Ophidion beani,exact,Ophidion beani,Ophidion beani
Ophidion grayi,exact,Ophidion grayi,Ophidion grayi
Ophidion holbrookii,exact,Ophidion holbrookii,Ophidion holbrookii
Ophidion josephi,exact,Ophidion josephi,Ophidion josephi
Ophidion marginatum,exact,Ophidion marginatum,Ophidion marginatum
Ophidion scrippsae,exact,Ophidion scrippsae,Ophidion scrippsae
Ophidion selenops,exact,Ophidion selenops,Ophidion selenops
Ophidion welshi,exact,Ophidion welshi,Ophidion welshi
Ophioblennius atlanticus,exact,Ophioblennius atlanticus,Ophioblennius atlanticus
Ophiodon elongatus,exact,Ophiodon elongatus,Ophiodon elongatus
Opisthonema oglinum,exact,Opisthonema oglinum,Opisthonema oglinum
Opsanus pardus,exact,Opsanus pardus,Opsanus pardus
Opsanus tau,exact,Opsanus tau,Opsanus tau
Orthopristis chrysoptera,exact,Orthopristis chrysoptera,Orthopristis chrysoptera
Osmerus eperlanus,exact,Osmerus eperlanus,Osmerus eperlanus
Osmerus mordax mordax,exact,Osmerus mordax mordax,Osmerus mordax mordax
Ostichthys trachypoma,exact,Ostichthys trachypoma,Ostichthys trachypoma
Otophidium dormitator,exact,Otophidium dormitator,Otophidium dormitator
Otophidium omostigma,exact,Otophidium omostigma,Otophidium omostigma
Oxylebius pictus,exact,Oxylebius pictus,Oxylebius pictus
Oxyporhamphus micropterus micropterus,exact,Oxyporhamphus micropterus micropterus,Oxyporhamphus micropterus micropterus
Pagellus acarne,exact,Pagellus acarne,Pagellus acarne
Pagellus bogaraveo,exact,Pagellus bogaraveo,Pagellus bogaraveo
Pagellus erythrinus,exact,Pagellus erythrinus,Pagellus erythrinus
Pagrus auriga,exact,Pagrus auriga,Pagrus auriga
Pagrus pagrus,exact,Pagrus pagrus,Pagrus pagrus
Pallasina barbata,exact,Pallasina barbata,Pallasina barbata
Parablennius gattorugine,exact,Parablennius gattorugine,Parablennius gattorugine
Parablennius marmoreus,exact,Parablennius marmoreus,Parablennius marmoreus
Paraclinus marmoratus,exact,Paraclinus marmoratus,Paraclinus marmoratus
Paraclinus nigripinnis,exact,Paraclinus nigripinnis,Paraclinus nigripinnis
Paraconger caudilimbatus,exact,Paraconger caudilimbatus,Paraconger caudilimbatus
Parahollardia lineata,exact,Parahollardia lineata,Parahollardia lineata
Paralabrax nebulifer,exact,Paralabrax nebulifer,Paralabrax nebulifer
Paralepis coregonoides,exact,Paralepis coregonoides,Paralepis coregonoides
Paralichthys albigutta,exact,Paralichthys albigutta,Paralichthys albigutta
Paralichthys californicus,exact,Paralichthys californicus,Paralichthys californicus
Paralichthys dentatus,exact,Paralichthys dentatus,Paralichthys dentatus
Paralichthys lethostigma,exact,Paralichthys lethostigma,Paralichthys lethostigma
Paralichthys squamilentus,exact,Paralichthys squamilentus,Paralichthys squamilentus
Paraliparis adustus,exact,Paraliparis adustus,Paraliparis adustus
Paraliparis albeolus,exact,Paraliparis albeolus,Paraliparis albeolus
Paraliparis bathybius,exact,Paraliparis bathybius,Paraliparis bathybius
Paraliparis calidus,exact,Paraliparis calidus,Paraliparis calidus
Paraliparis cephalus,exact,Paraliparis cephalus,Paraliparis cephalus
Paraliparis dactylosus,exact,Paraliparis dactylosus,Paraliparis dactylosus
Paraliparis deani,exact,Paraliparis deani,Paraliparis deani
Paraliparis grandis,exact,Paraliparis grandis,Paraliparis grandis
Paraliparis holomelas,exact,Paraliparis holomelas,Paraliparis holomelas
Paraliparis paucidens,exact,Paraliparis paucidens,Paraliparis paucidens
Paraliparis pectoralis,exact,Paraliparis pectoralis,Paraliparis pectoralis
Paraliparis penicillus,exact,Paraliparis penicillus,Paraliparis penicillus
Paraliparis rosaceus,exact,Paraliparis rosaceus,Paraliparis rosaceus
Paraliparis ulochir,exact,Paraliparis ulochir,Paraliparis ulochir
Paranthias furcifer,exact,Paranthias furcifer,Paranthias furcifer
Parasudis truculenta,exact,Parasudis truculenta,Parasudis truculenta
Pareques acuminatus,exact,Pareques acuminatus,Pareques acuminatus
Pareques iwamotoi,exact,Pareques iwamotoi,Pareques iwamotoi
Pareques umbrosus,exact,Pareques umbrosus,Pareques umbrosus
Parexocoetus brachypterus,exact,Parexocoetus brachypterus,Parexocoetus brachypterus
Paricelinus hopliticus,exact,Paricelinus hopliticus,Paricelinus hopliticus
Parmaturus xaniurus,exact,Parmaturus xaniurus,Parmaturus xaniurus
Parophrys vetulus,exact,Parophrys vetulus,Parophrys vetulus
Pegusa lascaris,exact,Pegusa lascaris,Pegusa lascaris
Peprilus burti,exact,Peprilus burti,Peprilus burti
Peprilus paru,exact,Peprilus paru,Peprilus paru
Peprilus simillimus,exact,Peprilus simillimus,Peprilus simillimus
Peprilus triacanthus,exact,Peprilus triacanthus,Peprilus triacanthus
Perca fluviatilis,exact,Perca fluviatilis,Perca fluviatilis
Percis japonica,exact,Percis japonica,Percis japonica
Peristedion cataphractum,exact,Peristedion cataphractum,Peristedion cataphractum
Peristedion gracile,exact,Peristedion gracile,Peristedion gracile
Peristedion greyae,exact,Peristedion greyae,Peristedion greyae
Peristedion miniatum,exact,Peristedion miniatum,Peristedion miniatum
Petromyzon marinus,exact,Petromyzon marinus,Petromyzon marinus
Phaeoptyx conklini,exact,Phaeoptyx conklini,Phaeoptyx conklini
Phaeoptyx pigmentaria,exact,Phaeoptyx pigmentaria,Phaeoptyx pigmentaria
Phaeoptyx xenus,exact,Phaeoptyx xenus,Phaeoptyx xenus
Phanerodon atripes,exact,Phanerodon atripes,Phanerodon atripes
Phanerodon furcatus,exact,Phanerodon furcatus,Phanerodon furcatus
Pholis fasciata,exact,Pholis fasciata,Pholis fasciata
Pholis gunnellus,exact,Pholis gunnellus,Pholis gunnellus
Pholis laeta,exact,Pholis laeta,Pholis laeta
Photonectes margarita,exact,Photonectes margarita,Photonectes margarita
Phrynorhombus norvegicus,exact,Phrynorhombus norvegicus,Phrynorhombus norvegicus
Phtheirichthys lineatus,exact,Phtheirichthys lineatus,Phtheirichthys lineatus
Phycis blennoides,exact,Phycis blennoides,Phycis blennoides
Phycis chesteri,exact,Phycis chesteri,Phycis chesteri
Phycis phycis,exact,Phycis phycis,Phycis phycis
Physiculus dalwigki,exact,Physiculus dalwigki,Physiculus dalwigki
Physiculus fulvus,exact,Physiculus fulvus,Physiculus fulvus
Physiculus rastrelliger,exact,Physiculus rastrelliger,Physiculus rastrelliger
Platichthys flesus,exact,Platichthys flesus,Platichthys flesus
Platichthys stellatus,exact,Platichthys stellatus,Platichthys stellatus
