Species,Match type,ScientificName,ScientificName_accepted
Careproctus cypselurus,exact,Careproctus cypselurus,Careproctus cypselurus
Careproctus derjugini,exact,Careproctus derjugini,Careproctus derjugini
Careproctus dubius,exact,Careproctus dubius,Careproctus dubius
Careproctus ectenes,exact,Careproctus ectenes,Careproctus ectenes
Careproctus faunus,exact,Careproctus faunus,Careproctus faunus
Careproctus furcellus,exact,Careproctus furcellus,Careproctus furcellus
Careproctus gilberti,exact,Careproctus gilberti,Careproctus gilberti
Careproctus longipinnis,exact,Careproctus longipinnis,Careproctus longipinnis
Careproctus lycopersicus,exact,Careproctus lycopersicus,Careproctus lycopersicus
Careproctus macrophthalmus,exact,Careproctus macrophthalmus,Careproctus macrophthalmus
Careproctus melanurus,exact,Careproctus melanurus,Careproctus melanurus
Careproctus micropus,exact,Careproctus micropus,Careproctus micropus
Careproctus ostentum,exact,Careproctus ostentum,Careproctus ostentum
Careproctus ovigerus,exact,Careproctus ovigerus,Careproctus ovigerus
Careproctus phasma,exact,Careproctus phasma,Careproctus phasma
Careproctus ranula,exact,Careproctus ranula,Careproctus ranula
Careproctus rastrinus,exact,Careproctus rastrinus,Careproctus rastrinus
Careproctus reinhardti,exact,Careproctus reinhardti,Careproctus reinhardti
Careproctus scottae,exact,Careproctus scottae,Careproctus scottae
Careproctus simus,exact,Careproctus simus,Careproctus simus
Careproctus tapirus,exact,Careproctus tapirus,Careproctus tapirus
Careproctus telescopus,exact,Careproctus telescopus,Careproctus telescopus
Careproctus zachirus,exact,Careproctus zachirus,Careproctus zachirus
Caristius fasciatus,exact,Caristius fasciatus,Caristius fasciatus
Caristius macropus,exact,Caristius macropus,Caristius macropus
Cataetyx rubrirostris,exact,Cataetyx rubrirostris,Cataetyx rubrirostris
Caulolatilus chrysops,exact,Caulolatilus chrysops,Caulolatilus chrysops
Caulolatilus cyanops,exact,Caulolatilus cyanops,Caulolatilus cyanops
Caulolatilus intermedius,exact,Caulolatilus intermedius,Caulolatilus intermedius
Caulolatilus microps,exact,Caulolatilus microps,Caulolatilus microps
Caulolatilus princeps,exact,Caulolatilus princeps,Caulolatilus princeps
Caulophryne jordani,exact,Caulophryne jordani,Caulophryne jordani
Centrolabrus exoletus,exact,Centrolabrus exoletus,Centrolabrus exoletus
Centrolophus niger,exact,Centrolophus niger,Centrolophus niger
Centrophorus squamosus,exact,Centrophorus squamosus,Centrophorus squamosus
Centropristis ocyura,near_2,Centropristis ocyurus,Centropristis ocyurus
Centropristis ocyurus,exact,Centropristis ocyurus,Centropristis ocyurus
Centropristis philadelphica,exact,Centropristis philadelphica,Centropristis philadelphica
Centropristis philadelphicus,near_2,Centropristis philadelphica,Centropristis philadelphica
Centropristis striata,exact,Centropristis striata,Centropristis striata
Centropristis striatus,near_2,Centropristis striata,Centropristis striata
Centroscyllium fabricii,exact,Centroscyllium fabricii,Centroscyllium fabricii
Centroscyllium nigrum,exact,Centroscyllium nigrum,Centroscyllium nigrum
Centroscymnus coelolepis,exact,Centroscymnus coelolepis,Centroscymnus coelolepis
Centroscymnus crepidater,exact,Centroscymnus crepidater,Centroscymnus crepidater
Cephalopholis cruentata,exact,Cephalopholis cruentata,Cephalopholis cruentata
Cephaloscyllium ventriosum,exact,Cephaloscyllium ventriosum,Cephaloscyllium ventriosum
Cepola macrophthalma,exact,Cepola macrophthalma,Cepola macrophthalma
Ceratoscopelus maderensis,exact,Ceratoscopelus maderensis,Ceratoscopelus maderensis
Cetorhinus maximus,exact,Cetorhinus maximus,Cetorhinus maximus
Chaenophryne draco,exact,Chaenophryne draco,Chaenophryne draco
